user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.653187096118927,,1.0,,0.6720942258834839,0.0,0.996822714805603,0.095973715186119,,0.8627089262008667,0.0,,0.0,0.993301510810852,0.2094949334859848,0.0,1.0,0.0,1.0,,0.9440791606903076,0.0,,0.0,0.0,0.0,0.5550419092178345,1.0,0.0,1.0,1.0,1.0,0.7138403058052063,,1.0,1.0,0.9886776804924012,,0.0,0.0,1.0,0.0,,,,1.0,0.0,,,0.1411865353584289,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8812298774719238,0.0,1.0,1.0,0.0992995575070381,1.0,,0.0,1.0,0.818374514579773,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.0464198924601078,1.0,0.9973451495170592,0.9924753308296204,0.0,0.6888545155525208,0.2497778087854385,0.0,0.0,1.0,,1.0,,1.0,0.0,0.7455171346664429,0.0,,0.0,0.0,,1.0,1.0
2,1.0,0.9383911490440368,,0.0,1.0,1.0,1.0,0.7660220861434937,0.0460173338651657,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.974012851715088,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.9277425408363342,1.0,1.0,0.9109513163566588,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,0.0,0.0,0.9956638216972352,,1.0,0.0,0.9141456484794616,1.0,0.9085203409194946,0.711999773979187,1.0,0.0,1.0,0.7275424003601074,,0.0,1.0,0.9151607751846312,,0.9054061770439148,,1.0,1.0,,0.2914260625839233,1.0,0.0,,0.9080457091331482,,0.934343695640564,0.0,,,0.9886654615402222,0.0,1.0,,1.0,0.0,,1.0,,,0.0,1.0,,1.0,0.9611819982528688,1.0,1.0,,,1.0,0.0,0.3296913802623749,1.0,1.0,0.0,0.8983592391014099,1.0
3,1.0,0.0,,0.9553049206733704,1.0,0.951749622821808,0.0,1.0,,,0.0,,0.0,0.0,0.0,1.0,1.0,0.994761049747467,0.0,0.9634034037590028,,0.0,,0.0,1.0,,0.0,0.6855707168579102,0.4101997315883636,1.0,0.936375617980957,1.0,,0.0,1.0,1.0,,1.0,1.0,,0.0,,1.0,,1.0,0.0,0.0,,0.0,,0.8853633403778076,0.0,1.0,0.9475821256637572,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,0.0771503373980522,1.0,0.0675249025225639,0.0,,0.897441565990448,1.0,0.0,1.0,0.0,0.0907235145568847,1.0,0.9485000967979432,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1467456519603729,0.8669585585594177,,1.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,0.0,0.97879821062088,0.0,
4,0.6537426114082336,1.0,0.0,,1.0,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,,1.0,1.0,0.0,1.0,,0.9226697683334352,0.7563619017601013,,1.0,0.9738922119140624,,0.0,0.9360563158988952,,1.0,0.0,1.0,1.0,0.4202904105186462,1.0,,,0.0,,0.0,1.0,0.2267829477787017,,,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,0.994416356086731,1.0,0.8981325030326843,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.992074728012085,1.0,0.0,0.0,0.0,0.0,1.0,0.9346859455108644,0.507681131362915,0.0,,0.0,1.0,0.9776100516319276,1.0,0.9615926146507264,1.0,1.0,0.9665756225585938,,,0.0394960939884185,0.1001084968447685,0.0
5,1.0,,1.0,0.0,0.0,,1.0,0.0,0.0356620326638221,0.0,0.0,0.0,0.6942367553710938,,0.0,0.0,,0.0,0.0,,0.0,,1.0,,0.0,1.0,0.0,1.0,0.9914108514785768,1.0,,1.0,1.0,0.31915083527565,0.0,,,0.0,1.0,,,0.9653559327125548,1.0,0.9567185640335084,,,0.0,,,1.0,0.0,1.0,1.0,0.0782752037048339,1.0,1.0,0.0,1.0,0.9729098677635192,1.0,1.0,1.0,1.0,0.8608916401863098,1.0,,0.0,0.8224381804466248,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.967216730117798,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1751241385936737,1.0,,0.0,1.0,1.0
6,1.0,,0.8957059979438782,,1.0,1.0,0.5138827562332153,1.0,0.0543840639293193,0.0,0.0,1.0,0.0,,0.0733487084507942,1.0,1.0,0.0736480131745338,,1.0,0.0,0.0,1.0,,,0.0,0.8481031060218811,1.0,1.0,0.0,,0.0,,1.0,,0.0,0.2058551758527755,0.0746084004640579,0.9064967036247252,1.0,,1.0,0.9984753727912904,,,0.0,1.0,,0.9978011250495912,,1.0,1.0,1.0,0.0,1.0,0.9555733799934388,,1.0,1.0,0.7106215953826904,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,,0.0,1.0,0.6207519173622131,1.0,1.0,0.0,1.0,1.0,0.9830328822135924,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.961860418319702,0.9880812168121338
7,0.383335530757904,0.0823967605829238,1.0,0.0,0.0,,0.0,0.0,1.0,,0.9763625264167786,1.0,0.0,,0.0,0.7875708937644958,1.0,,1.0,1.0,1.0,1.0,,0.6596819162368774,1.0,,0.0,1.0,1.0,0.0,,1.0,,1.0,0.0,1.0,,0.0,1.0,1.0,,,1.0,0.0,,1.0,1.0,0.0,,0.0,1.0,1.0,0.9991915822029114,1.0,1.0,1.0,,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,,0.6232796311378479,1.0,1.0,,1.0,1.0,0.8723388314247131,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.681280255317688,0.950801432132721,0.0,0.0,1.0,0.4344602823257446,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,0.0,0.0
8,1.0,0.0,,0.0,0.0,0.9587622880935668,0.0,0.0,,0.979916214942932,1.0,0.6258013844490051,0.0,,0.0,,0.8500066995620728,,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,,1.0,,0.0,1.0,1.0,,1.0,1.0,0.5544567704200745,0.211754098534584,,,1.0,1.0,1.0,1.0,0.0,0.9402040839195251,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,,1.0,0.0,1.0,1.0,,0.0,1.0,,1.0,1.0,0.0,0.0,0.0576501749455928,1.0,1.0,0.0,1.0,1.0,0.0,,0.931569278240204,1.0,1.0,1.0,,0.0,0.2280023545026779,1.0,,1.0,0.0934824645519256,0.9784854054450988,0.0,1.0,1.0,,0.965205192565918,0.0,0.0,0.0,1.0,0.0
9,1.0,,1.0,,1.0,0.7051997780799866,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,,1.0,1.0,0.0,0.4683776497840881,,0.0,,0.0,1.0,0.0,,1.0,1.0,0.0,,1.0,0.6515987515449524,,0.0,,0.7234976291656494,0.0,1.0,1.0,,0.0,,0.7182679772377014,0.0,,0.0603943280875682,,0.0,1.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,0.9964306950569152,1.0,0.0,0.0,0.0,1.0,0.392269879579544,0.5660238265991211,,1.0,0.0,0.0,1.0,1.0,0.9649660587310792,1.0,0.9395713806152344,1.0,0.9945582151412964,1.0,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.937069833278656,1.0,0.980995237827301,1.0,1.0,,0.0,,0.0,0.0
10,1.0,0.0,,1.0,0.0,,1.0,0.7120298743247986,0.0,1.0,0.0445966087281703,0.0,1.0,,0.0,1.0,0.9507718682289124,0.0,1.0,0.7724158763885498,,,0.0,1.0,0.1942497193813324,1.0,0.9874494075775146,,0.0,0.0,0.0,,0.2927168607711792,0.1494151204824447,,1.0,0.0,,0.0,,1.0,0.9983099699020386,1.0,1.0,,0.0,,,,0.0,1.0,0.0890097245573997,,1.0,1.0,1.0,1.0,0.0,0.6104398965835571,1.0,1.0,0.0,1.0,1.0,,0.8346717357635498,0.857882559299469,0.0,0.8669312596321106,,1.0,1.0,0.0,0.2117629945278167,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.6713052988052368,0.8913429975509644,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,
